,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,SP Sepharose HP,SP Sepharose HP,SP Sepharose HP,SP Sepharose HP,SP Sepharose HP,,,,,,,,,,,,
,,8,7,6,5,4,,,,,,,,,,,,
,,,6,2.45,5.79,2.79,3.46,,4.73,5.79,6,5.96,8.37,8.41,9.55,12.46,10.77,24.97
,,,7,2.2,3.34,2.58,3.46,,3.97,5.11,5.96,6.13,8.58,8.62,9.3,10.77,10.69,24.85
,,,8,1.27,1.56,2.37,3.00,,3.08,3.8,5.2,5.41,7.99,7.99,8.11,9.8,10.56,23.96
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,4,,26.87,,,,,,,,,
,,,,,,,5,,25.35,,,,,,,,,
,,,,,,,6,,24.97,,,,,,,,,
,,,,,,,7,,24.85,,,,,,,,,
,,,,,,,8,,23.96,,,,,,,,,
