Method,R²,RMSE,MAE,N_predictions
Two-stage Sigmoid,-16371.930109587804,31.641349944547468,9.882620104846257,11
Henderson-Hasselbalch,-0.5395642613102629,0.32466109237482205,0.18309058740654663,9
Polynomial pH,-462.733960176707,5.325081397008067,1.769889383022648,11
