feature,importance
SurfEpNegStdAverage,0.0017176454832596223
Formal charge,0.0017141029138694297
Nr_Hyd_Patches_gt500,0.001658606518015132
Max_Size_Hyd_Patches,0.001609644992017082
SurfEpMaxFormal,0.001590995095883034
SurfEpNegStdFormal,0.0014981359204572547
All_Hydrophobic_Patch_Energy_gt15,0.0014724139758531356
Sum_Score_Neg_Patches,0.0014697131454662858
All_Negative_Patch_Energy_gt50,0.0014528340640557894
NSurfPosEpFormal,0.0014359395108136902
SurfEpSumFormal,0.0014238946038936274
Percentage_Accessible_Res,0.0013744265975970747
ShellEpMaxFormal,0.001350261805777424
All_Negative_Patch_Energy,0.0012446305132055905
All_Positive_Patch_Energy_gt30,0.0011854867138364374
Max_Score_Hyd_Patches,0.00115057194742365
Hydrophobicity_Chothia,0.0011378285840473248
Molecular_weight_kDa,0.0011236328639798875
Ratio_Hetero_End_Side,0.001105387483573091
Total_negative_SASA,0.001086888167679797
Volume_vdw_based,0.0010634093008021436
Beta_Sheet_Deleage_Roux,0.0010445510013666285
Relative_Mutability,0.001009424369263951
Sum_Score_Pos_Patches,0.0009804418492900127
Hydrophobicity_Hopp_Woods,0.0009796095920278941
Total_Beta_Strand,0.0009086646294581867
Max_Score_Pos_Patches,0.0008692619607199191
Transmembrane_Tendency,0.0008122457105411506
Refractivity,0.0008085576735124595
Hydrophobicity_Black,0.0007475929323499901
Percentage_Buried_Res,0.0007443580831266453
Avg_Area_Buried,0.0006295711526077168
NShellNegEpFormal,0.000529769407386271
NShellPosEpFormal,0.000529769407386271
Hydrophobicity_Rao_Argos,0.0004992640883386267
Net_Charge_propka_based,0.0004903387877433375
All_Positive_Patch_Energy,0.00047742993583815916
Antiparallel_Beta_Strand,0.00047513496796810654
Beta_Sheet_Chou_Fasman,0.00044169668695362847
Molecular_Weight,0.0004236953118305053
Beta_Sheet_Levitt,0.0004206123131714753
Hydrophobicity_Rf_Mobility,0.0004153579515522918
Total_hydrophob_SASA_slogp,0.00040263363033331257
Sum_Size_Neg_Patches,0.00039497063305238007
Polarity_Zimmerman,0.00039450994134720627
Alpha_Helix_Levitt,0.0003690255474782337
Hydrophobicity_Manavalan,0.00036382934435956325
Aa_Composition,0.0003347610588692548
Beta_Turn_Deleage_Roux,0.00031242458871877745
Max_Size_Pos_Patches,0.000283402942698574
Alpha_Helix_Deleage_Roux,0.0002745106404660748
Average_Flexibility_BP,0.0002491595613903364
All_Positive_Patch_Energy_gt50,0.00021765126811706752
Radius_of_gyration,0.00020383801142472143
Polarity_Grantham,0.00020342255163825307
Aa_Composition_Swissprot,0.0001909108249502498
Aa_Flexibility_VTR,0.00018566264697059495
Alpha_Helix_Chou_Fasman,0.00016497975059049004
Coil_Deleage_Roux,0.00014202951312871845
Beta_Turn_Chou_Fasman,0.00013264250126202818
Hydrophobicity_Rose,0.0001322793499532174
Bulkiness,0.0001268740812457082
Recognition_Factors,0.00011351571986980815
Beta_Turn_Levitt,0.00011213687115446902
Total_positive_SASA,0.00010070016910479051
Hydrophobicity_Miyazawa_Jernigan,9.54084052012353e-05
Hydrophobicity_Fauchere,5.248044958786036e-05
Disorder_Propensity_FoldUnfold,4.4322421222888804e-05
